votesInFavor,distance,ateFavoriteDish,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
1,0,1,0.54,1,0.48,0.6,0.6,0
1,0,1,0.65,1,0.38,0.525,0.6,1
1,0,0,0.53,1,1.49,0.55,0.3,0
1,0,1,0.65,1,1.38,0.6,0.4,1
1,0.9,1,1.83,1,0.12,0.575,0.8,3
1,0,1,0.55,1,2.50,0.625,0.9,0
0.67,0.5,1,1.37,1,1.63,0.55,0.4,1
1,0.9,0,1.83,1,1.11,0.775,0.5,3
1,0,0,0.55,1,3.52,0.675,0.8,0
1,0,1,3.66,1,0.32,0.475,0.7,3
0.67,0.5,1,1.36,1,2.69,0.425,1,1
1,0,1,0.53,1,4.53,0.625,0.7,0
0.67,0.5,1,1.34,1,3.67,0.8,0.1,1
1,0,1,3.67,1,1.33,0.65,0.6,3
1,0.5,1,4.58,1,1.34,0.475,0.8,0
1,0.5,0,4.57,1,2.35,0.625,0.4,0
1,0,0,5.89,2,2.20,0.55,0.6,0
1,0,1,5.89,2,3.21,0.725,0.7,0
0.5,0.7,1,9.23,2,0.81,0.65,0.6,0
1,0.6,0,9.21,2,0.97,0.4,0.6,5
0.5,0.7,1,9.19,2,1.82,0.625,0.9,0
1,0.6,1,9.22,2,1.98,0.675,0.8,5
0.8,0,1,0.44,1,0.60,0.675,0.7,0
1,0.9,0,1.65,1,0.32,0.575,1,3
1,0,1,1.14,1,0.89,0.525,0.5,1
0.8,0,1,0.43,1,1.67,0.6,0.4,0
1,0.9,1,1.65,1,1.33,0.775,0.1,3
0.8,0,0,0.44,1,2.65,0.625,0.5,0
1,0,1,1.14,1,1.91,0.6,0.4,1
0.67,0,1,2.22,1,0.85,0.475,0.5,2
1,0,0,3.22,1,0.77,0.475,0.5,3
0.8,0,0,0.42,1,3.69,0.625,0.5,0
0.67,0,0,2.23,1,1.92,0.825,0.6,2
1,0,0,3.23,1,1.79,0.65,0.4,3
0.8,0,1,0.41,1,4.70,0.55,0.6,0
0.67,0,1,2.21,1,2.91,0.45,0.6,2
1,0.5,0,4.19,1,1.85,0.475,0.4,0
1,0.5,1,4.21,1,2.83,0.625,0.4,0
1,0.6,1,7.89,2,0.24,0.4,0.5,5
1,0,1,5.77,2,2.36,0.55,0.5,0
1,0.6,1,7.89,2,1.25,0.675,0.4,5
1,0,0,5.77,2,3.37,0.725,0.5,0
0.5,0.7,0,10.74,2,0.38,0.625,0.5,0
1,0,0,10.70,3,0.47,0.6,0.4,2
0.5,0.7,1,10.75,2,1.39,0.65,0.9,0
1,0,1,10.70,3,1.48,0.725,0.7,2
0.67,0.6,1,13.14,3,0.02,0.6,0.7,5
0.67,0.6,1,13.15,3,1.03,0.475,0.6,5
0.67,0.6,1,13.15,3,2.05,0.775,0.6,5
0.6,0.5,1,0.73,1,0.30,0.475,0.5,1
0.6,0.5,1,0.69,1,0.32,0.75,0.5,1
0.67,0,1,0.53,1,0.47,0.825,0.5,2
0.6,0.5,1,0.73,1,1.31,0.5,0.5,1
1,0.9,1,0.97,1,0.94,0.575,0.6,3
0.67,0,0,0.52,1,1.48,0.45,0.5,2
0.6,0.5,1,0.73,1,2.33,0.65,0.7,1
0.6,0.5,0,0.70,1,2.34,0.625,0.5,1
1,0.9,1,0.97,1,1.96,0.775,0.6,3
0.67,0,0,0.51,1,2.51,0.475,0.9,2
1,0.5,1,3.46,1,0.46,0.625,0.6,0
1,0,1,3.24,1,0.72,0.65,0.4,3
1,0.5,0,3.46,1,1.49,0.475,0.9,0
1,0,0,3.23,1,1.74,0.475,0.6,3
1,0,1,5.51,2,0.57,0.55,0.5,0
0.5,0,1,5.64,1,0.43,0.525,0.5,1
1,0,1,5.64,2,0.40,0.475,0.1,2
1,0,1,5.50,2,1.58,0.725,0.5,0
0.5,0,1,5.66,1,1.44,0.6,0.5,1
1,0,1,5.65,2,1.42,0.475,0.5,2
1,0.9,0,8.86,2,0.25,0.725,0.7,3
1,0.9,1,8.86,2,1.26,0.45,0.7,3
0.67,0,1,10.49,3,0.62,0.55,0.6,1
1,0,1,10.85,3,0.25,0.6,0.8,2
0.67,0,1,10.50,3,1.64,0.55,0.9,1
1,0,1,10.86,3,1.27,0.725,0.8,2
0.67,0,1,10.50,3,2.65,0.325,0.6,1
0.6,0.5,1,0.49,1,0.53,0.625,0.7,1
0.6,0.5,1,0.51,1,1.54,0.65,0.6,1
1,0.9,1,2.05,1,0.89,0.775,0.3,3
0.6,0.5,1,0.51,1,2.55,0.5,0.6,1
1,0.9,1,2.60,1,0.37,0.8,0.6,4
0.67,0,1,2.81,1,0.21,0.45,0.8,2
1,0.9,0,2.04,1,1.90,0.575,0.6,3
0.6,0.5,1,0.49,1,3.57,0.75,0.5,1
1,0.9,1,2.60,1,1.38,0.525,0.5,4
1,0.5,1,3.45,1,0.56,0.475,0.5,0
0.67,0,1,2.81,1,1.26,0.825,0.5,2
0.6,0.5,1,0.50,1,4.60,0.475,0.7,1
1,0.5,1,3.44,1,1.57,0.625,0.7,0
0.67,0,0,2.81,1,2.26,0.475,1,2
1,0,1,1.02,1,5.06,0.6,0.4,1
1,0,1,5.97,2,0.15,0.725,0.8,0
1,0,1,5.84,2,0.23,0.475,0.1,2
1,0,1,1.02,1,6.08,0.525,0.6,1
1,0,0,5.99,2,1.16,0.55,0.5,0
1,0,1,5.85,2,1.24,0.475,0.4,2
1,0.9,0,8.39,2,0.69,0.45,0.7,3
1,0.9,1,8.39,2,1.70,0.725,0.4,3
1,0,1,10.74,3,0.39,0.6,0.6,2
1,0,1,10.75,3,1.40,0.725,0.5,2
0.6,0.5,0,0.49,1,0.54,0.65,0.5,1
0.67,0,1,1.94,1,0.00,0.45,0.4,2
0.6,0.5,0,0.48,1,1.58,0.475,0.7,1
1,0,1,2.23,1,0.68,0.475,0.7,4
0.67,0,1,1.97,1,1.02,0.825,0.6,2
1,0,0,2.85,1,0.10,0.475,0.7,3
0.6,0.5,1,0.48,1,2.60,0.75,0.8,1
1,0,0,2.21,1,1.70,0.6,0.4,4
0.67,0,0,1.96,1,2.05,0.475,0.4,2
0.6,0.5,1,0.48,1,3.62,0.625,0.2,1
1,0,1,2.85,1,1.14,0.65,0.1,3
0.5,0.5,0,4.49,1,0.47,0.625,0.9,0
0.6,0.5,1,0.50,1,4.63,0.5,0.5,1
0.5,0.5,0,4.49,1,1.49,0.475,0.5,0
0.5,0,1,4.27,1,1.85,0.525,0.6,1
1,0,1,5.43,2,1.69,0.55,0.6,0
0.5,0,1,4.30,1,2.83,0.6,0.8,1
1,0,0,5.43,2,2.70,0.725,0.8,0
1,0.6,1,8.57,2,0.53,0.675,0.7,5
1,0.6,0,8.56,2,1.54,0.4,0.9,5
0.5,0.7,1,9.42,2,0.66,0.65,0.7,0
1,0,0,10.76,3,0.29,0.725,0.9,2
0.5,0.7,1,9.40,2,1.67,0.625,0.9,0
1,0,0,10.76,3,1.30,0.6,0.4,2
0.6,0.5,1,0.60,1,0.36,0.625,0.4,1
0.6,0.5,1,0.61,1,1.41,0.475,0.7,1
1,0.9,1,1.18,1,0.76,0.575,0.6,3
0.6,0.5,1,0.63,1,2.42,0.65,0.6,1
1,0.9,0,1.17,1,1.79,0.775,0.5,3
0.67,0,1,2.11,1,0.91,0.45,0.7,2
1,0.5,1,2.85,1,0.12,0.475,0.7,0
0.6,0.5,0,0.61,1,3.44,0.75,0.5,1
1,0,1,2.84,1,1.20,0.65,0.7,3
1,0.5,1,2.85,1,1.17,0.625,0.7,0
0.67,0,1,2.11,1,2.00,0.475,0.6,2
0.6,0.5,0,0.68,1,4.47,0.5,0.9,1
1,0,1,2.81,1,2.16,0.475,0.4,3
0.67,0,0,2.12,1,2.97,0.825,0.8,2
