distance,groupID,canteenTime,pastExperience,canteenExperience,canteen
0,1,0.476770519,0.6,0.6,0
0,1,0.375296852,0.525,0.6,1
0,1,1.488757046,0.55,0.3,0
0,1,1.382721116,0.6,0.4,1
0.9,1,0.115571934,0.575,0.8,3
0,1,2.501518555,0.625,0.9,0
0.5,1,1.627626844,0.55,0.4,1
0.9,1,1.112567134,0.775,0.5,3
0,1,3.516618427,0.675,0.8,0
0,1,0.321530674,0.475,0.7,3
0.5,1,2.686550319,0.425,1,1
0,1,4.52567351,0.625,0.7,0
0.5,1,3.674519083,0.8,0.1,1
0,1,1.332451539,0.65,0.6,3
0.5,1,1.34339731,0.475,0.8,0
0.5,1,2.354616985,0.625,0.4,0
0,2,2.195368785,0.55,0.6,0
0,2,3.207442822,0.725,0.7,0
0.7,2,0.810764036,0.65,0.6,0
0.6,2,0.968604896,0.4,0.6,5
0.7,2,1.82115083,0.625,0.9,0
0.6,2,1.978721073,0.675,0.8,5
0,1,0.599790248,0.675,0.7,0
0.9,1,0.320285316,0.575,1,3
0,1,0.891288049,0.525,0.5,1
0,1,1.67069399,0.6,0.4,0
0.9,1,1.327626632,0.775,0.1,3
0,1,2.650368347,0.625,0.5,0
0,1,1.905606321,0.6,0.4,1
0,1,0.845019491,0.475,0.5,2
0,1,0.768864602,0.475,0.5,3
0,1,3.68839026,0.625,0.5,0
0,1,1.917644417,0.825,0.6,2
0,1,1.793631334,0.65,0.4,3
0,1,4.70217099,0.55,0.6,0
0,1,2.906437635,0.45,0.6,2
0.5,1,1.846959903,0.475,0.4,0
0.5,1,2.825439851,0.625,0.4,0
0.6,2,0.240231749,0.4,0.5,5
0,2,2.363371433,0.55,0.5,0
0.6,2,1.250694499,0.675,0.4,5
0,2,3.37456653,0.725,0.5,0
0.7,2,0.381799217,0.625,0.5,0
0,3,0.4743044,0.6,0.4,2
0.7,2,1.392219359,0.65,0.9,0
0,3,1.482685503,0.725,0.7,2
0.6,3,0.024157875,0.6,0.7,5
0.6,3,1.034820554,0.475,0.6,5
0.6,3,2.045489644,0.775,0.6,5
0.5,1,0.296588829,0.475,0.5,1
0.5,1,0.318158811,0.75,0.5,1
0,1,0.471295772,0.825,0.5,2
0.5,1,1.313887913,0.5,0.5,1
0.9,1,0.944327027,0.575,0.6,3
0,1,1.476553317,0.45,0.5,2
0.5,1,2.328122744,0.65,0.7,1
0.5,1,2.339797645,0.625,0.5,1
0.9,1,1.956524673,0.775,0.6,3
0,1,2.509883932,0.475,0.9,2
0.5,1,0.46125499,0.625,0.6,0
0,1,0.723679917,0.65,0.4,3
0.5,1,1.488602238,0.475,0.9,0
0,1,1.741083362,0.475,0.6,3
0,2,0.571168354,0.55,0.5,0
0,1,0.433933055,0.525,0.5,1
0,2,0.40468266,0.475,0.1,2
0,2,1.584023696,0.725,0.5,0
0,1,1.444199819,0.6,0.5,1
0,2,1.418177198,0.475,0.5,2
0.9,2,0.24783776,0.725,0.7,3
0.9,2,1.260273368,0.45,0.7,3
0,3,0.62448474,0.55,0.6,1
0,3,0.249854913,0.6,0.8,2
0,3,1.636017394,0.55,0.9,1
0,3,1.274262981,0.725,0.8,2
0,3,2.645371647,0.325,0.6,1
0.5,1,0.528929766,0.625,0.7,1
0.5,1,1.540033741,0.65,0.6,1
0.9,1,0.889494986,0.775,0.3,3
0.5,1,2.55190141,0.5,0.6,1
0.9,1,0.36941696,0.8,0.6,4
0,1,0.209155129,0.45,0.8,2
0.9,1,1.90373443,0.575,0.6,3
0.5,1,3.565422157,0.75,0.5,1
0.9,1,1.380968607,0.525,0.5,4
0.5,1,0.56119164,0.475,0.5,0
0,1,1.260313995,0.825,0.5,2
0.5,1,4.604391266,0.475,0.7,1
0.5,1,1.56853537,0.625,0.7,0
0,1,2.256081216,0.475,1,2
0,1,5.06425541,0.6,0.4,1
0,2,0.149685826,0.725,0.8,0
0,2,0.229980105,0.475,0.1,2
0,1,6.075607628,0.525,0.6,1
0,2,1.160035081,0.55,0.5,0
0,2,1.240917017,0.475,0.4,2
0.9,2,0.6885245,0.45,0.7,3
0.9,2,1.699439102,0.725,0.4,3
0,3,0.38583757,0.6,0.6,2
0,3,1.399393465,0.725,0.5,2
0.5,1,0.542107221,0.65,0.5,1
0,1,0.003518297,0.45,0.4,2
0.5,1,1.584480145,0.475,0.7,1
0,1,0.681382554,0.475,0.7,4
0,1,1.017474167,0.825,0.6,2
0,1,0.103336233,0.475,0.7,3
0.5,1,2.596790757,0.75,0.8,1
0,1,1.697155411,0.6,0.4,4
0,1,2.048135332,0.475,0.4,2
0.5,1,3.617689704,0.625,0.2,1
0,1,1.137782687,0.65,0.1,3
0.5,1,0.47298197,0.625,0.9,0
0.5,1,4.628040204,0.5,0.5,1
0.5,1,1.49398712,0.475,0.5,0
0,1,1.851958417,0.525,0.6,1
0,2,1.691208689,0.55,0.6,0
0,1,2.834306869,0.6,0.8,1
0,2,2.704959749,0.725,0.8,0
0.6,2,0.529941509,0.675,0.7,5
0.6,2,1.541545068,0.4,0.9,5
0.7,2,0.660414283,0.65,0.7,0
0,3,0.293325468,0.725,0.9,2
0.7,2,1.671961404,0.625,0.9,0
0,3,1.304394431,0.6,0.4,2
0.5,1,0.360316465,0.625,0.4,1
0.5,1,1.413451622,0.475,0.7,1
0.9,1,0.760005461,0.575,0.6,3
0.5,1,2.422811126,0.65,0.6,1
0.9,1,1.788252797,0.775,0.5,3
0,1,0.91474772,0.45,0.7,2
0.5,1,0.115986497,0.475,0.7,0
0.5,1,3.437977928,0.75,0.5,1
0,1,1.197403619,0.65,0.7,3
0.5,1,1.174258242,0.625,0.7,0
0,1,2.00356188,0.475,0.6,2
0.5,1,4.470288869,0.5,0.9,1
0,1,2.161143964,0.475,0.4,3
0,1,2.965849303,0.825,0.8,2
0,1,0.23182591,0.525,0.8,1
0,2,0.53962168,0.475,1,2
0,1,1.242928098,0.6,0.6,1
0,2,1.558096968,0.475,0.7,2
0.5,2,1.940502556,0.55,0.9,1
0.5,2,2.952625506,0.55,0.5,1
0.6,2,0.531849172,0.675,0.4,5
0.6,2,1.539739716,0.4,0.5,5
0,3,0.394871967,0.325,0.5,1
0,3,0.642757107,0.725,0.4,2
0,3,1.413590937,0.55,0.2,1
0,3,1.655584138,0.6,0.4,2
0,3,2.424228218,0.55,0.6,1
0,1,0.536453793,0.625,0.5,0
0,1,0.203358093,0.825,0.6,2
0,1,1.538580777,0.625,0.5,0
0,1,1.216387067,0.45,0.5,2
0,1,0.277942549,0.475,0.5,4
0,1,2.553649165,0.55,0.7,0
0,1,2.22714909,0.475,0.5,2
0,1,1.290663175,0.6,0.6,4
0,1,3.581947399,0.675,0.5,0
0,1,0.687865088,0.475,0.4,3
0,1,4.584133986,0.6,0.7,0
0,1,1.703436125,0.65,0.4,3
0,1,0.02769393,0.6,0.6,1
0,2,0.302783015,0.55,0.8,0
0,1,1.037636569,0.525,0.7,1
0,2,1.316080572,0.725,0.7,0
0.6,2,0.170934938,0.4,0.5,5
0.5,1,1.967325598,0.625,0.9,0
0.6,2,1.182086765,0.675,0.7,5
0.5,1,2.978767738,0.475,0.7,0
0.7,2,0.850777227,0.625,0.6,0
0,3,0.379941273,0.55,0.5,1
0,3,0.442835555,0.6,0.7,2
0.7,2,1.86130282,0.65,0.9,0
0,3,1.39155189,0.55,0.5,1
0,3,1.450059451,0.725,0.4,2
0,3,2.402048275,0.325,0.6,1
0,1,0.384170212,0.625,0.6,0
0,1,0.112472569,0.6,0.5,1
0,1,1.400046646,0.55,0.4,0
0,1,0.254446032,0.6,0.4,4
0,1,1.149769766,0.525,0.8,1
0,1,2.422199931,0.6,0.6,0
0,1,1.287615873,0.475,0.6,4
0,1,0.208259204,0.475,0.7,3
0.5,1,1.174893281,0.55,0.4,1
0,1,3.480175727,0.625,0.2,0
0,1,1.234550343,0.65,0.5,3
0.5,1,2.204207079,0.425,0.6,1
0,1,4.487676693,0.675,0.5,0
0.5,1,3.221399664,0.8,0.5,1
0.5,1,0.945711821,0.625,0.5,0
0.5,1,1.961541057,0.475,0.5,0
0.7,2,2.287470087,0.625,0.7,0
0,2,0.748813336,0.5,0.4,1
0.7,2,3.298817303,0.65,0.7,0
0,2,1.760752522,0.525,0.5,1
0,2,4.057286324,0.55,0.5,0
0,2,5.072042683,0.725,0.5,0
0,3,0.421160165,0.325,1,1
0,3,0.74253617,0.725,0.5,2
0,3,1.43230738,0.55,0.4,1
0,3,1.754325152,0.6,0.5,2
0,3,2.4418746,0.55,0.7,1
