votesInFavor,distance,ateFavoriteDish,endTime,groupID,numStudentQueue,canteenTime,pastExperience,canteenExperience,canteen
1.00,0.0,0,0.590885262,1,0,0.314925295,0.5249999999999999,0.9,1
0.80,0.0,1,0.640996689,1,0,0.322938905,0.5499999999999999,0.4,0
0.67,0.0,0,0.847395069,1,0,0.088908159,0.825,0.6,2
1.00,0.0,1,0.588972295,1,1,1.3348416,0.6,0.7,1
1.00,0.0,0,0.683499407,1,1,1.340423019,0.625,0.9,0
1.00,0.9,1,1.67866281,1,0,0.192168193,0.775,0.6,3
0.67,0.0,1,0.8153496,1,1,1.099814555,0.475,0.4,2
0.80,0.0,1,0.643720366,1,2,2.363186933,0.625,0.4,0
0.67,0.0,1,0.818404047,1,2,2.11564697,0.45,0.4,2
1.00,0.9,1,1.672928531,1,1,1.22649853,0.575,0.6,3
0.80,0.0,1,0.662444134,1,3,3.376180607,0.675,0.6,0
1.00,0.0,1,2.945343689,1,2,0.984739337,0.475,0.5,3
0.80,0.0,1,0.684469402,1,4,4.372229905,0.6,0.5,0
1.00,0.0,1,2.948129416,1,3,2.014265226,0.65,0.5,3
1.00,0.5,1,4.001756254,1,5,1.905109432,0.475,0.6,0
1.00,0.0,1,6.163853355,2,2,0.845740602,0.5,0.6,1
1.00,0.5,1,3.985875253,1,6,2.915021964,0.625,0.7,0
1.00,0.0,0,6.14971801,2,3,1.854086882,0.525,0.7,1
1.00,0.0,1,5.715550483,2,7,2.337946492,0.7249999999999999,0.3,0
1.00,0.0,1,5.739558941,2,8,3.349094133,0.55,0.7,0
1.00,0.7,0,6.134018118,2,9,3.864466861,0.6249999999999999,0.6,0
0.67,0.0,1,10.607108675,3,4,0.391327025,0.55,0.4,1
1.00,0.7,1,6.136151357,2,10,4.875632612,0.65,0.5,0
1.00,0.0,0,10.702186024,3,3,0.308741016,0.6,0.5,2
0.67,0.0,1,10.62273777,3,5,1.402583442,0.32499999999999996,0.7,1
1.00,0.0,1,10.715875402,3,4,1.320016313,0.7250000000000001,0.4,2
0.67,0.0,1,10.64446349,3,6,2.413117167,0.55,0.6,1
1.00,0.0,1,0.696943332,1,0,0.309713366,0.5249999999999999,0.6,1
1.00,0.0,1,0.543178898,1,0,0.515638129,0.6,0.6,0
1.00,0.0,1,0.708264632,1,1,1.323438568,0.6,0.9,1
1.00,0.9,0,1.203639118,1,0,0.744261025,0.775,0.3,3
1.00,0.0,0,0.544778767,1,1,1.529213651,0.625,0.3,0
0.67,0.5,0,1.99546644,1,2,0.976603327,0.8,0.6,1
1.00,0.9,1,1.206137884,1,1,1.750180467,0.575,0.7,3
1.00,0.0,1,0.564294008,1,2,2.535519108,0.625,0.5,0
1.00,0.0,1,3.78604142,1,2,0.199024156,0.475,0.5,3
0.67,0.5,1,2.000967457,1,3,2.01636398,0.5499999999999999,1.0,1
1.00,0.0,0,0.555275974,1,3,3.556342481,0.5499999999999999,0.7,0
1.00,0.0,1,3.79272011,1,3,1.237875027,0.65,0.6,3
0.67,0.5,0,2.000702417,1,4,3.071029222,0.42500000000000004,0.2,1
1.00,0.0,0,0.573482595,1,4,4.587717013,0.675,0.7,0
1.00,0.0,0,5.935207775,2,5,0.191045104,0.5,0.6,1
1.00,0.5,1,3.649765797,1,5,2.385773227,0.625,0.4,0
1.00,0.0,0,5.915946316,2,6,1.203453893,0.525,0.8,1
1.00,0.5,1,3.6670075,1,6,3.401968698,0.475,0.6,0
1.00,0.7,1,5.933774381,2,7,2.165759224,0.6249999999999999,0.5,0
1.00,0.7,0,5.93482841,2,8,3.175810033,0.65,0.7,0
1.00,0.0,1,6.134733559,2,9,4.069298248,0.55,1.0,0
0.67,0.0,1,10.423008076,3,7,0.735620832,0.55,0.3,1
1.00,0.0,1,6.132585912,2,10,5.080337254,0.7249999999999999,0.4,0
0.67,0.0,1,10.422673858,3,8,1.747499648,0.32499999999999996,0.5,1
0.67,0.0,1,10.418491371,3,9,2.759336475,0.55,0.6,1
1.00,0.0,1,0.5063221,1,5,0.521420222,0.675,0.4,0
1.00,0.0,0,0.805996846,1,0,0.162106866,0.6,0.6,1
1.00,0.0,1,0.508380593,1,4,1.533914696,0.625,0.3,0
1.00,0.0,1,0.804005003,1,1,1.184864758,0.5249999999999999,0.6,1
1.00,0.9,0,1.777478312,1,0,0.180141912,0.775,0.2,3
1.00,0.0,0,0.463110593,1,6,2.549703006,0.625,0.5,0
0.67,0.0,1,2.376982966,1,0,0.577475391,0.475,0.4,2
1.00,0.9,1,2.329606478,1,0,0.657759688,0.5249999999999999,0.4,4
1.00,0.9,0,1.767078213,1,1,1.19633606,0.575,0.6,3
0.67,0.0,1,2.38224088,1,1,1.587737153,0.825,0.6,2
