votesInFavor,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
1,0.376692796,1,0.680061572,0.625,0.5,1
0.67,2,1,0.310897612,0.45,0.6,3
0.67,0.637786732,1,1.326019162,0.825,0.6,3
1,0.376196002,1,1.706566835,0.675,0.6,1
1,1.00306439,1,0.901263085,0.575,0.2,4
1,0.349387517,1,2.725651528,0.6,0.7,1
1,1.010821116,1,1.91861348,0.775,0.7,4
0.67,0.61689612,1,2.379955332,0.475,0.5,3
1,3.307945964,1,0.647783107,0.65,0.8,4
1,0.341037728,1,3.742899514,0.55,0.8,1
1,0.344231903,1,4.744377766,0.625,0.7,1
1,3.297919654,1,1.65348736,0.475,0.9,4
1,4.240476317,1,1.710319467,0.475,0.4,1
0.5,5.572196643,1,0.538599144,0.525,0.2,2
1,4.238868143,1,2.714349531,0.625,0.3,1
0.5,5.582148738,1,1.54900039,0.6,0.4,2
1,6.009539889,2,2.115654466,0.725,0.2,1
1,6.010933966,2,3.126543949,0.55,0.9,1
1,10.047989602,2,0.035306863,0.45,0.1,4
0.5,9.800879202,2,0.254658755,0.625,0.4,1
1,10.063381566,2,1.045742506,0.725,0.5,4
0.5,9.807145576,2,1.265112598,0.65,0.5,1
1,10.683791299,3,0.417849309,0.6,0.4,3
1,10.692651771,3,1.428448649,0.725,0.2,3
0.33,16.161990006,3,0.070943807,0.475,0.7,6
0.33,16.155598516,3,1.084340779,0.6,0.6,6
0.33,16.158658151,3,2.093094831,0.775,0.5,6
0.6,0.478611126,1,0.527346505,0.75,0.4,2
0.6,0.468295929,1,1.580604773,0.625,0.7,2
0.6,0.501374822,1,2.598231135,0.65,0.8,2
1,2.968430232,1,0.963413102,0.475,0.7,5
0.6,0.503151272,1,3.636869757,0.5,0.7,2
1,2.961608091,1,1.98015486,0.6,0.6,5
0.6,0.486396221,1,4.625491909,0.475,0.6,2
1,3.25298319,1,2.721639781,0.525,0.6,5
1,0.672954889,1,5.428603575,0.6,0.5,2
1,5.681096548,2,0.511498568,0.55,1,1
1,3.246766487,1,3.732654811,0.8,0.6,5
1,0.678209471,1,6.440249841,0.525,0.6,2
1,5.679665139,2,1.522516915,0.725,0.1,1
0.67,1.53000761,1,6.539675056,0.425,0.5,2
0.5,6.155128308,1,1.899845219,0.625,0.6,1
0.67,1.535586155,1,7.552916757,0.55,0.7,2
1,8.994851455,2,0.130905321,0.725,0.5,4
0.5,6.165848119,1,2.917062699,0.475,0.6,1
0.67,1.525583305,1,8.574210011,0.8,0.6,2
1,8.996925216,2,1.14584128,0.45,0.6,4
0.5,9.564902029,2,0.596089608,0.625,0.5,1
1,10.869165069,3,0.189770376,0.725,0.7,3
0.5,9.561650705,2,1.608980186,0.65,0.7,1
1,10.853716561,3,1.200474602,0.6,0.6,3
0.67,12.340529679,3,0.821241459,0.325,0.5,2
0.67,12.334752106,3,1.831226061,0.55,0.9,2
0.67,12.346210631,3,2.841270302,0.55,0.4,2
0.6,0.779585381,1,0.285807542,0.75,0.8,2
0.67,1.815561388,1,0.183965833,0.475,0.7,3
0.6,0.78314288,1,1.326109538,0.5,0.6,2
0.67,1.801953669,1,1.191910248,0.45,0.7,3
0.6,0.78017504,1,2.344149556,0.475,0.6,2
1,2.200009719,1,0.788503049,0.475,0.5,5
1,2.372217855,1,0.657288634,0.475,0.4,4
0.67,1.822622427,1,2.207442833,0.825,0.7,3
0.6,0.76650047,1,3.415608602,0.625,0.4,2
1,2.373353359,1,1.768618267,0.65,0.6,4
1,2.192958396,1,1.928019417,0.6,0.7,5
0.6,0.7816745,1,4.369836437,0.65,0.7,2
0.5,5.32147463,1,0.677117446,0.625,0.5,1
0.5,5.54345943,1,0.59442302,0.6,0.8,2
1,6.008014073,2,0.064677832,0.475,0.5,3
0.5,5.321829027,1,1.688924904,0.475,0.6,1
0.5,5.546501261,1,1.600630133,0.525,0.5,2
1,6.007524106,2,1.073715619,0.475,0.8,3
1,5.968835438,2,2.198347866,0.725,0.7,1
1,5.970421488,2,3.209473023,0.55,0.7,1
1,9.425842953,2,0.708824908,0.4,0.5,6
1,9.42903005,2,1.71976516,0.675,0.5,6
1,10.772981479,3,0.344151022,0.6,0.5,3
1,10.777354592,3,1.354167094,0.725,0.5,3
1,13.059795201,3,0.138546814,0.55,0.4,2
1,13.042406159,3,1.151867519,0.325,0.4,2
1,13.020928314,3,2.164100768,0.55,0.5,2
1,0.797613325,1,0.203571911,0.525,1,2
0.6,0.971354651,1,0.056408038,0.475,0.5,2
1,0.808007324,1,1.21355071,0.6,0.5,2
0.6,0.9857441,1,1.072038091,0.5,0.7,2
0.67,1.098764239,1,0.900665944,0.45,0.7,3
0.6,0.982318329,1,2.071549786,0.65,0.6,2
0.67,1.097173905,1,1.912091859,0.825,0.4,3
1,2.138350002,1,0.827027743,0.575,0.6,4
0.67,1.113818455,1,2.921570185,0.475,0.4,3
1,2.146161104,1,1.866141777,0.775,0.2,4
1,2.92223371,1,2.081772122,0.65,0.6,4
1,5.510673863,1,0.462633495,0.625,0.7,1
0.6,0.969907868,1,5.154590553,0.75,0.6,2
1,2.918217977,1,3.093303006,0.475,0.3,4
1,5.511449565,1,1.469266389,0.475,0.8,1
0.6,0.9672576,1,6.165597202,0.625,0.6,2
1,6.189945889,2,1.931176911,0.55,0.8,1
1,6.072684448,2,2.044224865,0.5,0.7,2
1,6.179954596,2,2.942190618,0.725,0.9,1
1,6.07159907,2,3.053119579,0.525,1,2
1,10.667803141,3,0.480172309,0.55,0.3,2
1,10.751065301,3,0.344274294,0.725,0.4,3
0.5,11.14270349,2,0.951560337,0.625,0.6,1
1,10.738793808,3,1.35462557,0.6,0.4,3
1,10.64858192,3,1.49359728,0.55,0.5,2
0.5,11.14275404,2,1.962719206,0.65,0.5,1
1,10.659834454,3,2.504580529,0.325,0.9,2
1,0.867305593,1,0.171535754,0.675,0.8,1
1,0.566707086,1,0.417204114,0.6,0.4,2
1,0.564948928,1,1.455911152,0.525,0.6,2
1,0.81725694,1,1.219743844,0.55,0.8,1
0.67,2.886964023,1,0.072934065,0.45,0.8,3
1,2.439397024,1,0.524010472,0.475,0.4,5
1,0.850266709,1,2.236918308,0.6,0.5,1
0.67,2.885457386,1,1.104276925,0.475,0.6,3
1,0.873064511,1,3.267673502,0.625,0.5,1
1,3.265495804,1,0.744071016,0.475,0.7,4
1,2.43726336,1,1.561194987,0.6,0.5,5
0.67,2.890717676,1,2.118845168,0.825,0.7,3
1,3.274186674,1,1.754076359,0.65,0.6,4
1,0.84945367,1,4.28108992,0.625,0.8,1
1,5.979276407,2,0.033557946,0.475,0.8,3
1,3.757393084,1,2.259661174,0.625,0.4,1
1,5.973787532,2,1.044516181,0.475,0.5,3
1,3.765373515,1,3.26260341,0.475,0.5,1
1,5.49153894,2,2.637235154,0.55,0.5,1
1,5.492376515,2,3.66251364,0.725,0.6,1
1,10.110401261,2,0.034023709,0.45,0.5,4
1,10.878631643,3,0.177740011,0.6,0.6,3
0.67,10.589043292,3,0.543846937,0.55,0.6,2
1,10.109701505,2,1.04705905,0.725,0.4,4
1,10.883332612,3,1.190856783,0.725,0.6,3
0.67,10.581802054,3,1.553743344,0.55,0.5,2
0.67,10.586828692,3,2.564448495,0.325,0.8,2
0.67,0.642145478,1,0.266399952,0.45,0.5,3
0.8,0.718399338,1,0.334041092,0.6,0.5,1
0.67,0.646755888,1,1.278287695,0.475,0.9,3
0.8,0.699875302,1,1.349403734,0.55,0.4,1
1,1.870829942,1,0.058502699,0.775,0.7,4
0.67,0.658541284,1,2.311641495,0.825,0.6,3
0.8,0.702092469,1,2.360298434,0.625,0.9,1
1,1.874611166,1,1.075132517,0.575,0.5,4
0.8,0.725832156,1,3.387666362,0.675,0.7,1
1,3.012397924,1,0.969773549,0.475,0.4,4
0.5,4.849474397,1,0.199821011,0.525,0.6,2
