votesInFavor,distance,ateFavoriteDish,endTime,canteenTime,pastExperience,canteenExperience,canteen
0.60,0.0,0,1.031164591,0.650870747,0.5499999999999999,0.5,1
1.00,0.0,0,1.028675919,0.466541411,0.5249999999999999,0.4,2
0.67,0.0,1,1.036445003,0.380660794,0.825,0.9,3
1.00,0.0,0,2.031494717,1.46821222,0.6,0.5,2
0.60,0.0,1,2.0680594,1.660640849,0.625,0.1,1
0.67,0.0,0,2.026315741,1.377447672,0.475,0.9,3
1.00,0.0,1,1.983871484,0.130056716,0.475,0.5,4
1.00,0.0,0,2.942366256,0.48479356,0.47500000000000003,0.8,5
0.60,0.0,0,3.095879856,2.684222752,0.675,1.0,1
1.00,0.0,1,3.018455439,1.145064481,0.65,0.5,4
0.67,0.0,1,3.028137313,2.365784484,0.45,0.6,3
1.00,0.0,1,3.972030706,1.507049423,0.6,1.0,5
0.60,0.0,1,4.109058125,3.698738406,0.6,0.6,1
0.60,0.0,1,5.111986275,4.700562963,0.625,0.6,1
1.00,0.5,0,6.002576495,1.513920512,0.475,0.3,1
1.00,0.0,1,6.076308436,0.154364423,0.475,0.7,3
1.00,0.5,0,7.015512948,2.527658043,0.625,1.0,1
1.00,0.0,0,7.097443205,1.172287526,0.475,0.5,3
1.00,0.0,0,8.130097537,2.727572224,0.55,0.6,1
1.00,0.0,0,9.129411402,3.737696577,0.7249999999999999,0.6,1
1.00,0.0,0,11.139073266,0.635908356,0.7250000000000001,0.5,3
1.00,0.0,0,12.147747261,1.648483615,0.6,0.9,3
0.67,0.6,1,13.1403498,0.103766057,0.775,0.6,6
0.67,0.6,1,14.144605017,1.113608011,0.6000000000000001,0.9,6
0.67,0.6,1,15.160760609,2.12341512,0.47500000000000003,0.8,6
0.80,0.0,1,0.997898698,0.467014674,0.5499999999999999,0.6,1
0.80,0.0,0,2.039334511,1.491458381,0.675,1.0,1
0.67,0.5,1,1.944548951,0.701567822,0.42500000000000004,0.4,2
0.80,0.0,1,3.051794148,2.511902927,0.6,0.6,1
0.67,0.5,1,2.965097892,1.724190476,0.8,0.5,2
1.00,0.9,1,2.947165317,1.001918019,0.5249999999999999,0.6,5
0.80,0.0,1,4.063733773,3.525969816,0.625,0.6,1
0.67,0.5,0,3.986130391,2.72806494,0.5499999999999999,0.6,2
1.00,0.9,1,4.035372715,2.094528132,0.8,0.5,5
0.80,0.0,1,5.092906244,4.525047385,0.625,0.5,1
0.50,0.0,1,5.033886278,0.160954772,0.6,0.5,2
1.00,0.0,1,4.975371557,2.687051962,0.6,0.6,5
1.00,0.5,0,5.93918283,2.488564888,0.475,0.6,1
0.50,0.0,1,6.040448469,1.173447348,0.5249999999999999,0.6,2
1.00,0.0,1,5.998899793,3.701166798,0.47500000000000003,0.8,5
1.00,0.5,0,6.947522386,3.499905903,0.625,0.6,1
1.00,0.7,1,8.016255734,2.476960548,0.65,0.6,1
1.00,0.7,1,9.01938553,3.488046843,0.6249999999999999,0.6,1
1.00,0.0,1,10.11945473,4.425730622,0.55,0.5,1
1.00,0.6,1,10.141138663,0.343524019,0.4,0.1,6
1.00,0.0,0,11.014213878,0.247139478,0.6,0.7,3
1.00,0.0,0,11.123669086,5.446499286,0.7249999999999999,0.8,1
1.00,0.6,0,11.151225078,1.353456079,0.675,0.5,6
1.00,0.0,1,12.026565666,1.258264466,0.7250000000000001,0.4,3
1.00,0.0,1,13.103751916,0.648685316,0.55,0.5,2
1.00,0.0,1,14.113444285,1.659052313,0.32499999999999996,0.6,2
1.00,0.0,1,15.127748252,2.674133034,0.55,0.5,2
0.80,0.0,0,1.004988617,0.429385025,0.675,0.8,1
1.00,0.9,0,1.805230923,0.614517834,0.775,0.6,4
0.67,0.5,0,1.928921766,0.150922716,0.5499999999999999,0.7,2
0.80,0.0,1,2.044936427,1.482468082,0.625,0.5,1
1.00,0.9,1,2.809082031,1.624601941,0.575,0.2,4
0.67,0.5,1,2.909640614,1.157544412,0.8,0.7,2
1.00,0.9,1,2.903325783,0.293022832,0.5249999999999999,0.5,5
0.80,0.0,1,3.056644962,2.507522739,0.5499999999999999,0.5,1
0.67,0.5,1,3.925871626,2.171043592,0.42500000000000004,0.7,2
1.00,0.9,1,3.901581702,1.321195406,0.8,0.2,5
0.80,0.0,1,4.152289268,3.557370614,0.625,0.5,1
0.80,0.0,1,5.155133129,4.587434956,0.6,0.6,1
0.50,0.0,1,6.010619358,0.971166305,0.5249999999999999,0.6,2
1.00,0.5,0,5.947100813,1.650569956,0.475,0.5,1
0.50,0.0,1,7.08588123,2.018749144,0.6,0.7,2
1.00,0.5,0,6.949983486,2.66310467,0.625,0.7,1
1.00,0.5,1,7.982076538,2.411732729,0.5,0.4,2
1.00,0.0,0,8.169086877,2.550806963,0.7249999999999999,0.9,1
1.00,0.5,1,8.999814128,3.42225669,0.525,0.2,2
1.00,0.0,0,9.179321825,3.560814552,0.55,0.5,1
1.00,0.9,1,10.045325949,0.148087773,0.44999999999999996,0.7,4
1.00,0.0,1,10.937412624,0.422152763,0.6,0.6,3
1.00,0.9,1,11.051602021,1.16012711,0.725,0.6,4
1.00,0.0,1,11.956272626,1.432475426,0.7250000000000001,0.5,3
0.67,0.0,1,13.12451205,0.715790841,0.32499999999999996,0.5,2
0.67,0.0,1,14.137214076,1.726261297,0.55,0.8,2
0.67,0.0,0,15.144341859,2.73869248,0.55,0.6,2
1.00,0.0,1,1.095797929,0.425032075,0.675,0.7,1
0.67,0.5,0,2.034134533,0.648182738,0.8,0.6,2
1.00,0.0,1,2.131563588,1.460984715,0.6,0.6,1
0.67,0.5,0,3.050452615,1.65696146,0.5499999999999999,0.5,2
1.00,0.0,1,3.015570743,0.78524497,0.6,0.5,5
1.00,0.0,0,3.135484312,2.466352293,0.5499999999999999,0.6,1
1.00,0.0,0,3.070610823,0.551120418,0.65,0.6,4
0.67,0.5,1,4.068407732,2.676779468,0.42500000000000004,0.1,2
